"lake","year","doy","ZID","depth","depth.rounded","manual.chl"
"L",2024,219,4,3.1,3,5.12672920444062
"L",2024,219,5,4.3,4.25,9.15425430299282
"L",2024,219,6,6.7,6.75,94.9529150140745
"L",2024,226,1,0,0,4.49522004747056
"L",2024,226,2,0.85,0.75,4.98922323449673
"L",2024,226,3,1.9,2,5.04677277743368
"L",2024,226,4,3.3,3.25,5.5793454765946
"L",2024,226,5,4.2,4.25,5.70341219170075
"L",2024,226,6,6.6,6.5,10.1153116452369
"L",2024,233,1,0,0,5.02169824132802
"L",2024,233,2,0.65,0.75,5.30039126241909
"L",2024,233,3,1.9,2,5.74024041660594
"L",2024,233,4,3,3,5.19190906801751
"L",2024,233,5,4.2,4.25,5.64951935194587
"L",2024,233,6,6.5,6.5,11.5149583203572
"R",2024,141,1,0,0,5.97871492655587
"R",2024,141,2,0.4,0.5,5.92354746454895
"R",2024,141,3,0.9,1,6.27084371991023
"R",2024,141,4,2.1,2,8.51942799385045
"R",2024,141,5,2.9,3,8.47047692725306
"R",2024,141,6,4.75,4.75,80.9986039560554
"R",2024,148,1,0,0,4.38836247405415
"R",2024,148,2,0.7,0.75,5.23671151779047
"R",2024,148,3,1.5,1.5,5.87611915363381
"R",2024,148,4,2.5,2.5,5.7636711775669
"R",2024,148,5,3.1,3,13.5225014269711
"R",2024,148,6,4.4,4.5,38.1994180763392
"R",2024,155,1,0,0,4.5096666369706
"R",2024,155,2,0.55,0.5,4.86991632803258
"R",2024,155,3,1.3,1.25,7.41874379381691
"R",2024,155,4,2.3,2.25,5.65604047262057
"R",2024,155,5,3,3,4.72356374831891
"R",2024,155,6,4.3,4.25,50.9234226423127
"R",2024,162,1,0,0,6.90319478925578
"R",2024,162,2,0.5,0.5,6.41836470335494
"R",2024,162,3,1.2,1.25,5.16815791020631
"R",2024,162,4,2,2,9.8811468211801
"R",2024,162,5,2.7,2.75,8.96537948913329
"R",2024,162,6,4.4,4.5,23.6036516286948
"R",2024,169,1,0,0,22.7121317213197
"R",2024,169,2,0.45,0.5,21.4360293751366
"R",2024,169,3,1.2,1.25,20.6525371861961
"R",2024,169,4,1.9,2,34.0197897969977
"R",2024,169,5,2.5,2.5,14.4216020283002
"R",2024,169,6,3.9,4,10.884077768077
"R",2024,176,1,0,0,20.2946826357184
"R",2024,176,2,0.45,0.5,26.3782378544352
"R",2024,176,3,0.95,1,29.0564299017216
"R",2024,176,4,1.7,1.75,8.90638816037026
"R",2024,176,5,2.3,2.25,10.5690266696327
"R",2024,176,6,4,4,5.80233907243013
"R",2024,183,1,0,0,7.53965355517586
"R",2024,183,2,0.4,0.5,7.36828651376595
"R",2024,183,3,0.9,1,7.45400834278996
"R",2024,183,4,1.7,1.75,7.05136091961904
"R",2024,183,5,2.2,2.25,6.54677070623715
"R",2024,183,6,4,4,5.18497874484386
"R",2024,190,1,0,0,18.8971455300767
"R",2024,190,2,0.35,0.25,22.2085514545309
"R",2024,190,3,1,1,21.7937768364497
"R",2024,190,4,1.6,1.5,21.0225607224776
"R",2024,190,5,2.2,2.25,9.80623664456443
"R",2024,190,6,3.6,3.5,6.89825823995998
"R",2024,197,1,0,0,43.3140845134971
"R",2024,197,2,0.45,0.5,40.2400160384319
"R",2024,197,3,1,1,36.1809013776046
"R",2024,197,4,1.5,1.5,31.2074367925354
"R",2024,197,5,2.1,2,32.4335641952301
"R",2024,197,6,3.3,3.25,15.7549056599742
"R",2024,204,1,0,0,56.6415234624384
"R",2024,204,2,0.35,0.25,52.2743698668403
"R",2024,204,3,0.7,0.75,53.0701198472333
"R",2024,204,4,1.3,1.25,45.1255726083604
"R",2024,204,5,1.7,1.75,23.7213913766524
"R",2024,204,6,3.1,3,56.625147526688
"R",2024,211,1,0,0,23.8646113806401
"R",2024,211,2,0.45,0.5,25.0331056586108
"R",2024,211,3,0.95,1,26.2015772998475
"R",2024,211,4,1.7,1.75,31.6851511081726
"R",2024,211,5,2.2,2.25,22.9548305940885
"R",2024,211,6,4,4,46.8371900448159
"R",2024,218,1,0,0,57.5627767199019
"R",2024,218,2,0.45,0.5,60.7267826803739
"R",2024,218,3,1,1,64.7562954582986
"R",2024,218,4,1.5,1.5,61.400747902575
"R",2024,218,5,1.9,2,61.6920652560804
"R",2024,218,6,3,3,30.2547785492431
"R",2024,225,1,0,0,3.62631771992013
"R",2024,225,2,0.5,0.5,3.80210066574421
"R",2024,225,3,1.2,1.25,3.46446507193253
"R",2024,225,4,1.9,2,2.82828578261279
"R",2024,225,5,2.5,2.5,4.48616535387685
"R",2024,225,6,4.2,4.25,24.610308930263
"R",2024,232,1,0,0,13.6780723812781
"R",2024,232,2,0.55,0.5,13.9805339730526
"R",2024,232,3,1.2,1.25,13.9670389970235
"R",2024,232,4,1.9,2,14.370756441197
"R",2024,232,5,2.6,2.5,15.3904542428273
"R",2024,232,6,4.2,4.25,24.9026710561061
"T",2024,143,1,0,0,19.5826711581949
"T",2024,143,2,0.4,0.5,18.4522675383709
"T",2024,143,3,1.1,1,18.339197922763
"T",2024,143,4,1.9,2,24.2386633849272
"T",2024,143,5,2.4,2.5,42.3137280597691
"T",2024,143,6,3.3,3.25,89.1211864957838
"T",2024,150,1,0,0,10.1953943155679
"T",2024,150,2,0.5,0.5,10.0678328369921
"T",2024,150,3,1.2,1.25,10.3692844821735
"T",2024,150,4,1.9,2,15.7152173707945
"T",2024,150,5,2.4,2.5,22.2919591128268
"T",2024,150,6,3.5,3.5,78.0161106470364
"T",2024,157,1,0,0,13.8415618392614
"T",2024,157,2,0.35,0.25,10.8195752652324
"T",2024,157,3,0.85,0.75,10.1748749868548
"T",2024,157,4,1.9,2,11.6465543614439
"T",2024,157,5,2.4,2.5,11.9175569874857
"T",2024,157,6,3.4,3.5,314.079460170192
"T",2024,164,1,0,0,8.2906655134234
"T",2024,164,2,0.5,0.5,9.3049252750358
"T",2024,164,3,1,1,9.64657801848607
"T",2024,164,4,1.9,2,9.08962555682409
"T",2024,164,5,2.4,2.5,16.0677522887859
"T",2024,164,6,3.4,3.5,107.487848871375
"T",2024,171,1,0,0,23.5863449749202
"T",2024,171,2,0.5,0.5,24.4943392007743
"T",2024,171,3,0.875,1,26.7924030219861
"T",2024,171,4,1.7,1.75,18.4272591711799
"T",2024,171,5,2.1,2,14.796065847017
