"lake","year","doy","ZID","depth","depth.rounded","manual.chl"
"T",2024,164,2,0.5,0.5,23.7464336989443
"T",2024,164,3,1,1,25.0288516939089
"T",2024,164,4,1.9,2,23.2899108488908
"T",2024,164,5,2.4,2.5,36.8553959511236
"T",2024,164,6,3.4,3.5,225.794103733608
"T",2024,171,1,0,0,52.2810799171794
"T",2024,171,2,0.5,0.5,55.0875996094227
"T",2024,171,3,0.875,1,58.9859934589615
"T",2024,171,4,1.7,1.75,44.2793427111824
"T",2024,171,5,2.1,2,37.158000328451
"T",2024,171,6,3,3,71.1016088091554
"T",2024,178,1,0,0,74.2398646140767
"T",2024,178,2,0.5,0.5,48.1864638923158
"T",2024,178,3,1,1,56.5176526421456
"T",2024,178,4,1.7,1.75,58.7447590087528
"T",2024,178,5,2.3,2.25,49.6627272055368
"T",2024,178,6,3.3,3.25,56.2455765125268
"T",2024,185,1,0,0,49.5906797051265
"T",2024,185,2,0.5,0.5,66.4363276856971
"T",2024,185,3,1.9,2,56.6055423737704
"T",2024,185,4,3.5,3.5,82.997884654765
"T",2024,185,5,4.9,5,73.0231819533151
"T",2024,185,6,6.1,6,71.0393334126775
"T",2024,192,1,0,0,40.4155064480014
"T",2024,192,2,0.5,0.5,45.7516811629879
"T",2024,192,3,1,1,48.0870085309123
"T",2024,192,4,1.8,1.75,58.5293339178605
"T",2024,192,5,2.3,2.25,84.9188901392879
"T",2024,192,6,3.4,3.5,88.5464267602687
"T",2024,199,1,0,0,53.8120805944615
"T",2024,199,2,0.3,0.25,53.8809485043906
"T",2024,199,3,0.8,0.75,56.7107143811486
"T",2024,199,4,1.8,1.75,70.4887366494034
"T",2024,199,5,2.7,2.75,97.3383409568805
"T",2024,199,6,3.9,4,104.227656816273
"T",2024,206,1,0,0,67.521619777265
"T",2024,206,2,0.35,0.25,68.5779116006681
"T",2024,206,3,0.85,0.75,72.507504093499
"T",2024,206,4,1.6,1.5,91.2722525903634
"T",2024,206,5,2.1,2,87.6938220105434
"T",2024,206,6,3,3,73.131195741452
"T",2024,213,1,0,0,51.8900703872072
"T",2024,213,2,0.4,0.5,53.0234742449278
"T",2024,213,3,0.9,1,47.7768887579021
"T",2024,213,4,1.5,1.5,45.25672375056
"T",2024,213,5,2,2,62.6305041478561
"T",2024,213,6,2.8,2.75,73.1006030661158
"T",2024,220,1,0,0,48.5644451112364
"T",2024,220,2,0.45,0.5,51.772700662786
"T",2024,220,3,0.9,1,47.1558725977774
"T",2024,220,4,1.6,1.5,50.9882925567627
"T",2024,220,5,1.9,2,50.7859758761346
"T",2024,220,6,2.9,3,66.0441131849621
"T",2024,227,1,0,0,69.8809908392551
"T",2024,227,2,0.4,0.5,63.0420852451583
"T",2024,227,3,0.85,0.75,68.051159154072
"T",2024,227,4,1.5,1.5,72.376342503576
"T",2024,227,5,1.9,2,98.6831875815993
"T",2024,227,6,2.8,2.75,70.9518824854345
"T",2024,234,1,0,0,74.8676021429075
"T",2024,234,2,0.35,0.25,76.8984654387433
"T",2024,234,3,0.75,0.75,74.0392718078058
"T",2024,234,4,1.5,1.5,75.9147252184034
"T",2024,234,5,2,2,72.8534552044755
"T",2024,234,6,2.9,3,114.890827921259
