Date,Time,Temp [°C],Temp [°F],Temp [°K],pH [Units],ORP [mV],SpCond [mS/cm],SpCond [µS/cm],Res [kO-cm],Sal [ppt],TDS [g/l],pHVolts [mV],LDO% [Sat],LDO [mg/l],BP [mmHg],CHL [µg/l],CHLV [Volts],PCY [cell/mL],PCYV [Volts],IBatt [Volts],EBatt [Volts],IBatt [%Left],EBatt [%Left],Circ [Status],Date / Time,lake,depth,
6/13/2024,13:48:50,20.9,69.6,294.1,8.13,-121,0,10,96,-0.01,0,-37.3,102.6,9.06,752,0.1,0.0116,131,0.0035,6.4,0,0,0,1,6/13/2024 13:48:50,,,
6/13/2024,13:49:20,20.92,69.7,294.1,7.96,-112,0,10,96,-0.01,0,-28,102.1,9.02,752,0.1,0.0114,0,0.003,6.5,0,1,0,1,6/13/2024 13:49:20,L,0,
6/13/2024,13:49:50,20.75,69.3,293.9,7.86,-104,0,10,96,-0.01,0,-22.2,101.9,9.03,752,0.19,0.0124,94,0.0036,6.5,0,0,0,1,6/13/2024 13:49:50,L,0.25,
6/13/2024,13:50:20,20.58,69,293.7,7.76,-95,0,10,96,-0.01,0,-17.9,101.8,9.06,752,0.25,0.0129,82,0.0036,6.4,0,1,0,1,6/13/2024 13:50:20,L,0.5,
6/13/2024,13:50:50,20.48,68.9,293.6,7.68,-89,0,10,97,-0.01,0,-12.6,101.8,9.07,752,0.17,0.0122,0,0.0032,6.7,0,3,0,1,6/13/2024 13:50:50,L,0.75,
6/13/2024,13:51:20,19.6,67.3,292.8,7.61,-82,0,10,95,-0.01,0,-8.5,100.5,9.11,752,0.35,0.0138,86,0.0036,6.5,0,0,0,1,6/13/2024 13:51:20,L,1,
6/13/2024,13:51:50,19.04,66.3,292.2,7.56,-76,0,10,96,-0.01,0,-5.6,101,9.26,752,0.45,0.0147,69,0.0036,6.5,0,1,0,1,6/13/2024 13:51:50,L,1.25,
6/13/2024,13:52:20,18.7,65.7,291.9,7.52,-70,0,10,96,-0.01,0,-3.3,100.7,9.3,752,0.42,0.0146,133,0.0037,6.5,0,1,0,1,6/13/2024 13:52:20,L,1.5,
6/13/2024,13:52:50,18.45,65.2,291.6,7.48,-66,0,10,96,-0.01,0,-1.1,100.2,9.29,752,0.43,0.0145,96,0.0036,6.4,0,1,0,1,6/13/2024 13:52:50,L,1.75,
6/13/2024,13:53:20,18.3,64.9,291.5,7.46,-62,0,10,96,-0.01,0,0.2,99.8,9.29,752,0.55,0.0157,89,0.0036,6.5,0,1,0,1,6/13/2024 13:53:20,L,2,
6/13/2024,13:53:50,18.09,64.6,291.2,7.41,-58,0,10,97,-0.01,0,2.8,99.1,9.27,752,0.61,0.0162,100,0.0036,6.5,0,1,0,1,6/13/2024 13:53:50,L,2.25,
6/13/2024,13:54:20,17.97,64.4,291.1,7.36,-55,0,10,96,-0.01,0,5.6,98.5,9.23,752,0.77,0.0178,176,0.0039,6.5,0,0,0,1,6/13/2024 13:54:20,L,2.5,
