"lake","doy","depth","year","date_time","chl_ugL","do_mgL","do_percent","temp","pH","phyco_cells","SPC","flag"
"L",198,0.25,2022,NA,0.32,NA,100.5,NA,6.455,333,11,NA
"R",198,0.25,2022,NA,1.51,NA,99.9,NA,6.45,320,12,NA
"T",198,0.25,2022,NA,0.855,NA,100.25,NA,6.325,425.5,9,NA
"L",200,0.25,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R",200,0.25,2022,NA,3.045,NA,99.75,NA,6.335,282.5,12,NA
"T",200,0.25,2022,NA,3.01,NA,98.1,NA,6.015,367,9,NA
"L",202,0.25,2022,NA,0.21,NA,96.35,NA,5.9,176.5,11,NA
"R",202,0.25,2022,NA,0.225,NA,100.9,NA,6.155,297.5,12,NA
"T",202,0.25,2022,NA,1.84,NA,99.45,NA,5.915,197,9,NA
"L",204,0.25,2022,NA,1.72,NA,97.15,NA,6.58,286,11,NA
"R",204,0.25,2022,NA,1.46,NA,99.75,NA,6.535,280,12,NA
"T",204,0.25,2022,NA,1.565,NA,100.9,NA,6.235,1850,9,NA
"L",206,0.25,2022,NA,0.2,NA,95.25,NA,6.075,287,11,NA
"R",206,0.25,2022,NA,1.1725,NA,101,NA,6.22,272,12,NA
"T",206,0.25,2022,NA,2.67,NA,92.15,NA,5.52,423.5,9,NA
"L",210,0.25,2022,NA,1.25,NA,96.6,NA,6.25,341,11,NA
"R",210,0.25,2022,NA,0.75,NA,98.9,NA,6.145,344,12,NA
"T",210,0.25,2022,NA,3.185,NA,91.35,NA,5.57,493.5,9,NA
"L",212,0.25,2022,NA,0.03,NA,105.3,NA,6.36,0,10.5,NA
"R",212,0.25,2022,NA,0.11,NA,106.15,NA,6.325,114,12,NA
"T",212,0.25,2022,NA,0.86,NA,101.75,NA,5.965,163,9,NA
"L",213,0.25,2022,NA,1.15,NA,103.25,NA,6.55,389.5,11,NA
"R",213,0.25,2022,NA,0.865,NA,100.9,NA,6.41,333.5,12,NA
"T",213,0.25,2022,NA,2.675,NA,97.9,NA,5.505,810.5,9,NA
"L",214,0.25,2022,NA,0.8,NA,100.75,NA,5.93,351.5,10,NA
"R",214,0.25,2022,NA,0.28,NA,99.05,NA,6.52,256.5,12,NA
"T",214,0.25,2022,NA,1.655,NA,92.5,NA,5.995,331,9,NA
"L",216,0.25,2022,NA,0.7,NA,108,NA,6.565,0,10.5,NA
"R",216,0.25,2022,NA,0.215,NA,103.1,NA,6.39,275.5,12,NA
"T",216,0.25,2022,NA,1.01,NA,101.95,NA,6.175,342.5,9,NA
"L",218,0.25,2022,NA,1.005,NA,105.3,NA,6.605,287.5,10,NA
"R",218,0.25,2022,NA,0.335,NA,100.4,NA,6.58,266.5,12,NA
"T",218,0.25,2022,NA,2.585,NA,101.2,NA,5.88,358.5,9,NA
"L",220,0.25,2022,NA,0.705,NA,101.9,NA,6.435,762,10.5,NA
"R",220,0.25,2022,NA,0.195,NA,98.1,NA,6.615,280,12,NA
"T",220,0.25,2022,NA,2.465,NA,96.4,NA,5.945,356,9,NA
