"doy","depth","lake","year","k","kcrit.depth","perc.light"
162,5,"T",2022,NA,NA,0.13598962087187
162,5,"T",2024,NA,NA,0.241441444801194
162,5.25,"L",2022,NA,NA,2.04123984912851
162,5.25,"L",2024,NA,NA,4.42688284729069
162,5.25,"R",2022,NA,NA,0.387162353302307
162,5.25,"R",2024,-1.00690620666059,4.57358388451401,0.50606639697753
162,5.25,"T",2022,NA,NA,0.0977794441157085
162,5.25,"T",2024,NA,NA,0.178797971095226
162,5.5,"L",2022,NA,NA,1.69683541371686
162,5.5,"L",2024,NA,NA,3.81727061040761
162,5.5,"R",2022,NA,NA,0.297424986606013
162,5.5,"R",2024,-1.00690620666059,4.57358388451401,0.393445016340483
162,5.5,"T",2022,NA,NA,0.0703065239717788
162,5.5,"T",2024,NA,NA,0.132420157721879
162,5.75,"L",2022,NA,NA,1.41060513913368
162,5.75,"L",2024,NA,NA,3.2916852687901
162,5.75,"R",2022,NA,NA,0.228504417781815
162,5.75,"R",2024,-1.00690620666059,4.57358388451401,0.305886701444112
162,5.75,"T",2022,NA,NA,0.0505533499606915
162,5.75,"T",2024,NA,NA,0.0980813781392264
162,6,"L",2022,NA,NA,1.17271149150838
162,6,"L",2024,NA,NA,2.83853310361391
162,6,"R",2022,NA,NA,0.175567740401541
162,6,"R",2024,-1.00690620666059,4.57358388451401,0.23781385005367
162,6,"T",2022,NA,NA,0.0363505086859775
162,6,"T",2024,NA,NA,0.0726541038339792
162,6.25,"L",2022,NA,NA,0.974982434884953
162,6.25,"L",2024,NA,NA,2.44782179372051
162,6.25,"R",2022,NA,NA,0.134904970351481
162,6.25,"R",2024,-1.00690620666059,4.57358388451401,0.184890114576238
162,6.25,"T",2022,NA,NA,0.0261382961405108
162,6.25,"T",2024,NA,NA,0.053823886517604
162,6.5,"L",2022,NA,NA,0.810629132034658
162,6.5,"L",2024,NA,NA,2.110938962892
162,6.5,"R",2022,NA,NA,0.103667931624141
162,6.5,"R",2024,-1.00690620666059,4.57358388451401,0.143744169905578
162,6.5,"T",2022,NA,NA,0.0187953437317095
162,6.5,"T",2024,NA,NA,0.0398778233258841
162,6.75,"L",2022,NA,NA,0.674011551020385
162,6.75,"L",2024,NA,NA,1.8204613892909
162,6.75,"R",2022,NA,NA,0.0796699056411538
162,6.75,"R",2024,-1.00690620666059,4.57358388451401,0.111754954715677
162,6.75,"T",2022,NA,NA,0.0135154178316405
162,6.75,"T",2024,NA,NA,0.0295480951857471
162,7,"L",2022,NA,NA,0.560443838310685
162,7,"L",2024,NA,NA,1.56999062597759
162,7,"R",2022,NA,NA,0.0612318933678388
162,7,"R",2024,-1.00690620666059,4.57358388451401,0.0868847057359387
162,7,"T",2022,NA,NA,0.00971884988910147
162,7,"T",2024,NA,NA,0.02189623002185
162,7.25,"L",2022,NA,NA,0.466032703746585
162,7.25,"L",2024,NA,NA,1.35401137163128
162,7.25,"R",2022,NA,NA,0.0470646373272804
162,7.25,"R",2024,-1.00690620666059,4.57358388451401,0.0675491490290203
162,7.25,"T",2022,NA,NA,0.00698886182384379
162,7.25,"T",2024,NA,NA,0.0162274832233208
162,7.5,"L",2022,NA,NA,0.387543211378495
162,7.5,"L",2024,NA,NA,1.16776943874688
162,7.5,"R",2022,NA,NA,0.0361780793587731
162,7.5,"R",2024,-1.00690620666059,4.57358388451401,0.0525165792517315
162,7.5,"T",2022,NA,NA,0.00502578845040913
162,7.5,"T",2024,NA,NA,0.0120274926413809
162,7.75,"L",2022,NA,NA,0.322287323318743
162,7.75,"L",2024,NA,NA,1.00716660408926
162,7.75,"R",2022,NA,NA,0.0278118690839461
162,7.75,"R",2024,-1.00690620666059,4.57358388451401,0.0408293980893603
162,7.75,"T",2022,NA,NA,0.00361416612996009
162,7.75,"T",2024,NA,NA,0.00891540910129735
162,8,"L",2022,NA,NA,0.268031334638836
162,8,"L",2024,NA,NA,0.868670002892628
162,8,"R",2022,NA,NA,0.0213820251186994
162,8,"R",2024,-1.00690620666059,4.57358388451401,0.0317431137384009
162,8,"T",2022,NA,NA,0.00259907112755001
162,8,"T",2024,NA,NA,0.00660921419970915
163,0,"L",2022,NA,NA,100
163,0,"L",2024,-0.585878545631096,7.86028099909241,100
163,0,"R",2022,NA,NA,100
163,0,"R",2024,NA,NA,100
163,0,"T",2022,NA,NA,100
163,0,"T",2024,NA,NA,100
163,0.25,"L",2022,NA,NA,83.2123455355935
163,0.25,"L",2024,-0.585878545631096,7.86028099909241,86.3751958548853
163,0.25,"R",2022,NA,NA,76.50940910858
163,0.25,"R",2024,NA,NA,77.230604403419
163,0.25,"T",2022,NA,NA,71.8011395475498
163,0.25,"T",2024,NA,NA,73.7122249727509
163,0.5,"L",2022,NA,NA,69.2457804615017
163,0.5,"L",2024,-0.585878545631096,7.86028099909241,74.606744589698
163,0.5,"R",2022,NA,NA,58.539243740287
163,0.5,"R",2024,NA,NA,59.6615838490671
163,0.5,"T",2022,NA,NA,51.5548030804462
163,0.5,"T",2024,NA,NA,54.3376136075903
163,0.75,"L",2022,NA,NA,57.6257435267709
163,0.75,"L",2024,-0.585878545631096,7.86028099909241,64.4417217603057
163,0.75,"R",2022,NA,NA,44.7916439180098
163,0.75,"R",2024,NA,NA,46.1011839375314
163,0.75,"T",2022,NA,NA,37.0180376819713
163,0.75,"T",2024,NA,NA,40.0574619140007
163,1,"L",2022,NA,NA,47.9575883262236
163,1,"L",2024,-0.585878545631096,7.86028099909241,55.6616633827242
163,1,"R",2022,NA,NA,34.2739970860344
163,1,"R",2024,NA,NA,35.6317750484329
163,1,"T",2022,NA,NA,26.5805599792813
163,1,"T",2024,NA,NA,29.5316987927041
163,1.25,"L",2022,NA,NA,39.9131112758284
163,1.25,"L",2024,-0.585878545631096,7.86028099909241,48.077870762915
163,1.25,"R",2022,NA,NA,26.2271194211211
163,1.25,"R",2024,NA,NA,27.5465441106425
163,1.25,"T",2022,NA,NA,19.0862820618464
163,1.25,"T",2024,NA,NA,21.7728798844801
163,1.5,"L",2022,NA,NA,33.2193532093486
163,1.5,"L",2024,-0.585878545631096,7.86028099909241,41.5273550343265
163,1.5,"R",2022,NA,NA,20.0703406536847
163,1.5,"R",2024,NA,NA,21.3008709130723
163,1.5,"T",2022,NA,NA,13.7051891634021
163,1.5,"T",2024,NA,NA,16.0533649942067
163,1.75,"L",2022,NA,NA,27.6492904540887
163,1.75,"L",2024,-0.585878545631096,7.86028099909241,35.8693342442531
163,1.75,"R",2022,NA,NA,15.3595125815513
163,1.75,"R",2024,NA,NA,16.474966955278
163,1.75,"T",2022,NA,NA,9.84136233712719
163,1.75,"T",2024,NA,NA,11.836937497688
163,2,"L",2022,NA,NA,23.0140962209524
163,2,"L",2024,-0.585878545631096,7.86028099909241,30.982207705317
163,2,"R",2022,NA,NA,11.7548987819862
163,2,"R",2024,NA,NA,12.7451562194417
163,2,"T",2022,NA,NA,7.06694817790783
163,2,"T",2024,NA,NA,8.72842763665609
163,2.25,"L",2022,NA,NA,19.1567071177939
163,2.25,"L",2024,-0.585878545631096,7.86028099909241,26.760942585635
163,2.25,"R",2022,NA,NA,8.99661952557738
163,2.25,"R",2024,NA,NA,9.86178998289383
163,2.25,"T",2022,NA,NA,5.07475516535411
163,2.25,"T",2024,NA,NA,6.43659793690593
