"lake","year","date","ZID","carbon","doy","depth","depth.rounded","manual.chl","c.to.chl","c.to.chl.corr"
"R",2022,2022-07-05,5,913.333333333333,186,3.4,3.5,32.6743348585247,27.9526220591158,14.8148896913314
"L",2022,2022-07-05,2,460,186,0.9,1,3.57580568175682,128.642337123308,79.7582490164508
"L",2022,2022-07-05,3,460,186,1.8,1.75,4.59841430848083,100.034483441743,62.0213797338807
"R",2022,2022-07-05,2,546.666666666667,186,0.7,0.75,5.30026792423747,103.139440209584,54.6639033110796
"T",2022,2022-07-13,2,740,194,0.6,0.5,5.51485960634126,134.182926279594,57.6986583002254
"T",2022,2022-07-13,1,713.333333333333,194,0,0,5.13649826485128,138.875416003667,59.7164288815767
"R",2022,2022-07-18,3,473.333333333333,199,1.3,1.25,4.13162407566198,114.563504487638,60.718657378448
"R",2022,2022-07-18,5,580,199,3.2,3.25,6.66965709392215,86.9609924217147,46.0893259835088
"R",2022,2022-07-18,6,2313.33333333333,199,4.2,4.25,119.296810037714,19.3914098172617,10.2774472031487
"R",2022,2022-07-18,1,620,199,0,0,4.62625487426647,134.01769181563,71.0293766622839
"R",2022,2022-07-18,4,586.666666666667,199,2.3,2.25,7.18894048674031,81.6068331277395,43.2516215577019
"T",2022,2022-07-13,3,826.666666666667,194,1.3,1.25,5.54330267148185,149.128906656955,64.1254298624907
"T",2022,2022-07-13,4,853.333333333333,194,2.1,2,5.891125297901,144.850650797968,62.2857798431263
"T",2022,2022-07-13,5,1060,194,2.6,2.5,7.37070079839582,143.812648076924,61.8394386730773
"T",2022,2022-07-13,6,1206.66666666667,194,3.8,3.75,13.3106159845016,90.6544571695003,38.9814165828851
"R",2022,2022-07-18,2,526.666666666667,199,0.65,0.75,3.98589745979338,132.132517702542,70.0302343823474
"R",2022,2022-07-11,3,500,192,1.2,1.25,3.50905420766018,142.488536913597,75.5189245642063
"R",2022,2022-07-11,3,533.333333333333,192,1.2,1.25,3.50905420766018,151.987772707837,80.5535195351534
"R",2022,2022-07-11,4,573.333333333333,192,2.2,2.25,6.74839432201196,84.9584813773005,45.0279951299693
"L",2022,2022-07-19,6,846.666666666667,200,5.4,5.5,12.4312590254323,68.1078774832482,42.2268840396139
"T",2022,2022-07-20,3,820,201,1.3,1.25,6.54025788761282,125.377319073774,53.9122472017228
"T",2022,2022-07-20,6,980,201,4,4,14.6560210866541,66.8667160210623,28.7526878890568
